id,name,subcategory_id
1,Ale,1
2,Almond butter,1
3,Almond milk,1
4,Almonds,1
5,Apple juice,1
6,Apple pie,1
7,Apples,2
8,Apricot jam,1
9,Asparagus,3
10,Avocados,3
11,Bacon,4
12,Bagels,5
13,Baguette,5
14,Banana loaf,1
15,Bananas,2
16,Beans,3
17,Beef burger,4
18,Beef curry,4
19,Beef meatballs,4
20,Beef mince,4
21,Beef noodles,4
22,Beef steak,4
23,Beer,1
24,Beetroot,3
25,Biscuits,1
26,Blue cheese,6
27,Brazil nuts,1
28,Bread,5
29,Breakfast cereal,1
30,Brie,6
31,Broccoli,3
32,Butter,6
33,Cabbage,3
34,Caesar salad,1
35,Camembert,6
36,Carrot cake,1
37,Carrots,3
38,Cashew nuts,1
39,Cauliflower,3
40,Cereal bars,1
41,Cheddar cheese,6
42,Cheesecake,1
43,Cherry tomatoes,2
44,Chia seeds,1
45,Chicken breast,7
46,Chicken burger,7
47,Chicken curry,7
48,Chicken noodles,7
49,Chicken pasta,7
50,Chicken sausages,7
51,Chicken thighs,7
52,Chicken wings,7
53,Chickpeas,1
54,Chilli con carne,1
55,Chocolate biscuits,1
56,Chocolate cake,1
57,Chocolate cereals,1
58,Chocolate cheesecake,1
59,Chocolate spread,1
60,Cider,1
61,Coconut milk,1
62,Coconut oil,1
63,Cod,8
64,Cod fish fingers,8
65,Cod fishcakes,1
66,Coffee beans,6
67,Coffee pods,6
68,Cookies,1
69,Cottage cheese,6
70,Cottage pie,1
71,Courgettes,3
72,Couscous,5
73,Cow's milk,6
74,Cracker biscuits,1
75,Crisps,1
76,Croissants,1
77,Cucumber,3
78,Dairy-free cheese,1
79,Dairy-free ice cream,1
80,Dark chocolate,1
81,Doughnuts,1
82,Egg noodles,5
83,Eggs,9
84,Falafels,1
85,Feta cheese,6
86,Flapjack,1
87,Frozen chips (french fries),1
88,Frozen jacket potatoes,1
89,Frozen mashed potato,1
90,Frozen onion rings,1
91,Frozen potato wedges,1
92,Frozen roast potatoes,1
93,Frozen sweet potato fries,1
94,Fruit cake,1
95,Fruit smoothies,1
96,Garden peas,3
97,Goat's cheese,6
98,Granola,1
99,Grapes,2
100,Haddock risotto,8
101,Halloumi cheese,6
102,Ice cream,1
103,Ice lollies,1
104,Instant coffee,1
105,Kale,3
106,Kiwis,2
107,Lamb (leg),4
108,Lamb Hotpot,4
109,Lamb burgers,4
110,Lamb casserole,4
111,Lamb chops,4
112,Lamb curry,4
113,Lamb moussaka,4
114,Lasagne sheets,5
115,Lemons,2
116,Lentils,10
117,Lettuce,3
118,Limes,2
119,Macaroni cheese,1
120,Mackerel,8
121,Marmalade,1
122,Meat pizza,1
123,Meat-free burger,1
124,Meat-free mince,1
125,Meat-free nuggets,1
126,Meat-free sausages,1
127,Melon,2
128,Milk chocolate,1
129,Mixed salad,1
130,Mozzarella cheese,6
131,Muesli,1
132,Muffins,1
133,Mushrooms,3
134,Naan,10
135,Nut loaf,2
136,Oat milk,1
137,Olive oil,1
138,Onions,3
139,Orange juice,1
140,Oranges,2
141,Pain au chocolat,1
142,Pancakes,1
143,Parmesan cheese,6
144,Parsnips,3
145,Pasta shells,5
146,Peanut butter,1
147,Peanuts,1
148,Pears,2
149,Pecan nuts,1
150,Penne pasta,5
151,Peppers,3
152,Pineapple,2
153,Pitta bread,5
154,Popcorn,1
155,Poppadoms,1
156,Pork chops,11
157,Pork loin,11
158,Pork sausage rolls,11
159,Pork sausages,11
160,Porridge (oatmeal),5
161,Potato croquettes,10
162,Potatoes,3
163,Prawn crackers,8
164,Prawns,8
165,Protein bar,1
166,Protein shake,1
167,Pumpkin seeds,1
168,Quiche,10
169,Quinoa,5
170,Rapeseed oil,1
171,Raspberries,2
172,Raspberry jam,1
173,Rice,5
174,Rice milk,1
175,Rice noodles,5
176,Ricotta cheese,6
177,Salmon,8
178,Salmon fishcakes,1
179,Sausage rolls,7
180,Shepherd's pie,1
181,Shortbread biscuits,1
182,Sourdough bread,5
183,Soy desert,1
184,Soy milk,1
185,Soy yoghurt,1
186,Spaghetti,5
187,Spaghetti bolognese,5
188,Spinach,3
189,Sponge cake,1
190,Steak pie,1
191,Strawberries,2
192,Strawberry jam,1
193,Sugar,1
194,Sunflower oil,1
195,Sunflower seeds,1
196,Sweetcorn,3
197,Tea,1
198,Tofu,1
199,Tomato ketchup,1
200,Tomatoes,3
201,Tortilla wraps,1
202,Tuna,8
203,Vegan pizza,1
204,Vegetable lasagne,1
205,Vegetarian chilli con carne,1
206,Vegetarian curry,1
207,Vegetarian pizza,1
208,Walnuts,1
209,Watermelon,2
210,Wine,1
211,Yoghurt,1
