trip_id,start_time,end_time,headway_secs,exact_times
weekend_S4060_S406002_0,06:00:00,09:20:00,2400,0
weekend_S4060_S406002_1,10:05:00,15:20:00,2700,0
weekend_S4060_S406002_2,16:00:00,22:00:00,2400,0
weekday_S0100_S010002_0,06:00:00,23:30:00,600,0
weekend_S0100_S010002_0,06:00:00,23:30:00,600,0
weekend_S3040_S304002_0,06:00:00,09:30:00,10800,0
weekend_S3040_S304002_1,12:30:00,21:30:00,10800,0
weekday_S1040_S104002_0,06:00:00,19:30:00,1800,0
weekday_S1040_S104002_1,20:00:00,21:00:00,3600,0
weekend_S1040_S104002_0,06:00:00,19:30:00,1800,0
weekend_S1040_S104002_1,20:00:00,21:00:00,3600,0
weekday_S1140_S114002_0,06:00:00,06:40:00,1200,0
weekday_S1140_S114002_1,07:00:00,19:00:00,1800,0
weekday_S1140_S114002_2,19:40:00,20:10:00,1800,0
weekday_S1140_S114002_3,21:00:00,21:20:00,3000,0
weekend_S1030_S103002_0,06:00:00,21:00:00,1800,0
weekend_S1140_S114002_0,06:00:00,06:40:00,1200,0
weekend_S1140_S114002_1,07:00:00,19:00:00,1800,0
weekend_S1140_S114002_2,19:40:00,20:10:00,1800,0
weekday_S3020_S302002_0,06:00:00,06:30:00,1800,0
weekday_S3020_S302002_1,07:30:00,08:00:00,1800,0
weekday_S3020_S302002_2,09:00:00,09:30:00,1800,0
weekday_S3020_S302002_3,10:30:00,11:00:00,1800,0
weekday_S3020_S302002_4,12:00:00,12:30:00,1800,0
weekday_S3020_S302002_5,13:30:00,14:00:00,1800,0
weekday_S3020_S302002_6,15:00:00,15:30:00,1800,0
weekday_S3020_S302002_7,16:30:00,17:00:00,1800,0
weekday_S3020_S302002_8,18:00:00,18:30:00,1800,0
weekday_S3020_S302002_9,19:30:00,20:15:00,2700,0
weekday_S3020_S302002_10,21:00:00,21:30:00,1800,0
weekend_S3020_S302002_0,06:00:00,06:30:00,1800,0
