route_id,agency_id,route_short_name,route_long_name,route_type
30000143,,,T117,3
30000044,,,T413,3
30000117,,,T459,3
30000097,,,T305,3
30000127,,,T407,3
30000057,,,T400,3
30000157,,,T512,3
30000060,,,T802,3
30000125,,,T807,3
30000096,,,T455,3
30000137,,,T111,3
30000041,,,T411,3
30000148,,,T562,3
30000162,,,T586,3
30000028,,,T819,3
30000174,,,T565,3
30000029,,,T820,3
30000121,,,T101,3
30000181,,,T569,3
30000025,,,T816,3
30000152,,,T506,3
30000056,,,T412,3
30000091,,,T104,3
30000165,,,T543,3
30000154,,,T509,3
30000124,,,T105,3
30000094,,,T453,3
30000133,,,T107,3
30000160,,,T564,3
30000115,,,T457,3
30000118,,,T460,3
30000136,,,T110,3
30000116,,,T458,3
30000067,,,T803,3
30000068,,,T852,3
30000062,,,T804,3
30000145,,,T103,3
30000149,,,T508,3
30000155,,,T510,3
30000173,,,T560,3
30000011,,,T812,3
30000151,,,T505,3
30000176,,,T511,3
30000120,,,T100,3
30000158,,,T561,3
30000156,,,T544,3
30000131,,,T772,3
30000168,,,T567,3
30000064,,,T408,3
30000130,,,T801,3
30000180,,,T545,3
30000030,,,T821,3
30000026,,,T817,3
30000132,,,T106,3
30000185,,,T154,3
30000106,,,T809,3
30000092,,,T813,3
30000184,,,T121,3
30000058,,,T401,3
30000141,,,T115,3
30000166,,,T568,3
30000164,,,T588,3
30000175,,,T542,3
30000016,,,T815,3
30000134,,,T108,3
30000187,,,T465,3
30000170,,,T419,3
30000038,,,T409,3
30000159,,,T563,3
30000101,,,T462,3
30000075,,,T352,3
30000040,,,T410,3
30000100,,,T461,3
30000010,,,T811,3
30000146,,,T119,3
30000186,,,T155,3
30000147,,,T180,3
30000140,,,T114,3
30000069,,,T417,3
30000167,,,T566,3
30000093,,,T814,3
30000153,,,T507,3
30000105,,,T810,3
30000150,,,T504,3
30000085,,,T805,3
30000027,,,T818,3
30000102,,,T463,3
30000144,,,T118,3
30000009,,,T808,3
30000183,,,T152,3
30000139,,,T113,3
30000135,,,T109,3
30000034,,,T456,3
30000163,,,T587,3
30000129,,,T464,3
30000036,,,T415,3
30000172,,,T559,3
30000122,,,T102,3
30000045,,,T414,3
30000138,,,T112,3
30000169,,,T418,3
30000128,,,T451,3
30000171,,,T589,3
30000098,,,T402,3
30000046,,,T416,3
30000161,,,T585,3
30000095,,,T454,3
