stop_id,stop_code,stop_name,stop_lat,stop_lon
12000321,PJ785,KOMPLEKS MUHIBBAH (BARAT),3.15800900,101.57040000
12000322,PJ786,SUNSURIA TECHNOLOGY CENTRE (UTARA),3.15681500,101.56720000
12000323,PJ787,SUNSURIA TECHNOLOGY CENTRE (BARAT),3.15335500,101.56660000
12000324,PJ788,SELANGOR SCIENCE PARK,3.15011200,101.56960000
12000327,PJ799,ST JOSEPH'S INSTITUTION,3.13949800,101.59500000
12000328,PJ800,SUNWAY SUTERA,3.13823800,101.59790000
12000332,PJ511,TROPICANA GOLF CLUB,3.12857700,101.59370000
12000333,PJ806,TROPICANA GRANDE,3.13180700,101.59460000
12000334,PJ807,CASA TROPICANA,3.13717600,101.59490000
12000335,PJ808,CITA DAMANSARA,3.14646800,101.59900000
12000337,KL2264,KOMERSIAL BURHANUDDIN (1),3.15222500,101.62070000
12000338,KL2265,KOMERSIAL BURHANUDDIN (2),3.15297600,101.62280000
12000339,KL2266,(M1) VILLA FLORA CONDO,3.15364000,101.62460000
12000340,KL2267,KIARA PARK CONDO,3.15427800,101.62650000
12000341,KL2332,KG SG PENCHALA (1),3.16174100,101.62550000
12000342,KL1447,KG SG PENCHALA (2),3.16009700,101.62420000
12000343,KL1445,KG SG PENCHALA (3),3.15995100,101.61850000
12000346,PJ796,THE STRAND TIMUR,3.15536000,101.59560000
12000347,PJ368,MRT SURIAN PINTU B,3.14994600,101.59309200
12000348,PJ83,SRK SEKSYEN 11,3.16021267,101.59463490
12000349,PJ662,(M1) D'VILLA AVENUE,3.16202500,101.59132000
12000350,PJ81,AEON BIG KD,3.15976500,101.59110300
12000351,PJ86,THE STRAND BARAT,3.15447200,101.59104700
12000352,PJ663,DATARAN SUNWAY BARAT,3.15220700,101.59085200
12000354,PJ815,DERET KEDAI PJU 7/7A,3.15829900,101.60463500
12000355,PJ816,KOMERSIAL PJU 7/16,3.15974600,101.60353400
12000358,PJ809,MRT MUTIARA DAMANSARA PINTU B,3.15568700,101.60818700
