id,entity_id,value,unit
1,1,0.079286,"kg CO2e/RM, purchaser price"
2,2,0.109286,"kg CO2e/RM, purchaser price"
3,3,0.183095,"kg CO2e/RM, purchaser price"
4,4,0.183095,"kg CO2e/RM, purchaser price"
5,5,0.183095,"kg CO2e/RM, purchaser price"
6,6,0.236429,"kg CO2e/RM, purchaser price"
7,7,0.121667,"kg CO2e/RM, purchaser price"
8,8,0.091667,"kg CO2e/RM, purchaser price"
9,9,0.112619,"kg CO2e/RM, purchaser price"
10,10,0.114762,"kg CO2e/RM, purchaser price"
11,11,0.114762,"kg CO2e/RM, purchaser price"
12,12,0.114762,"kg CO2e/RM, purchaser price"
13,13,0.114762,"kg CO2e/RM, purchaser price"
14,14,0.114762,"kg CO2e/RM, purchaser price"
15,15,0.115476,"kg CO2e/RM, purchaser price"
16,16,0.115476,"kg CO2e/RM, purchaser price"
17,17,0.090714,"kg CO2e/RM, purchaser price"
18,18,0.090714,"kg CO2e/RM, purchaser price"
19,19,0.090714,"kg CO2e/RM, purchaser price"
20,20,0.19119,"kg CO2e/RM, purchaser price"
21,21,0.19119,"kg CO2e/RM, purchaser price"
22,22,0.230714,"kg CO2e/RM, purchaser price"
23,23,0.152857,"kg CO2e/RM, purchaser price"
24,24,0.138095,"kg CO2e/RM, purchaser price"
25,25,0.266667,"kg CO2e/RM, purchaser price"
26,26,0.266667,"kg CO2e/RM, purchaser price"
27,27,0.266667,"kg CO2e/RM, purchaser price"
28,28,0.093095,"kg CO2e/RM, purchaser price"
29,29,0.063333,"kg CO2e/RM, purchaser price"
30,30,0.060238,"kg CO2e/RM, purchaser price"
31,31,0.060238,"kg CO2e/RM, purchaser price"
32,32,0.060238,"kg CO2e/RM, purchaser price"
33,33,0.084762,"kg CO2e/RM, purchaser price"
34,34,0.084762,"kg CO2e/RM, purchaser price"
35,35,0.084762,"kg CO2e/RM, purchaser price"
36,36,0.088571,"kg CO2e/RM, purchaser price"
37,37,0.088571,"kg CO2e/RM, purchaser price"
38,38,0.084048,"kg CO2e/RM, purchaser price"
39,39,0.051429,"kg CO2e/RM, purchaser price"
40,40,0.081905,"kg CO2e/RM, purchaser price"
41,41,0.081905,"kg CO2e/RM, purchaser price"
42,42,0.095476,"kg CO2e/RM, purchaser price"
43,43,0.095476,"kg CO2e/RM, purchaser price"
44,44,0.050952,"kg CO2e/RM, purchaser price"
45,45,0.050952,"kg CO2e/RM, purchaser price"
46,46,0.050952,"kg CO2e/RM, purchaser price"
47,47,0.065238,"kg CO2e/RM, purchaser price"
48,48,0.043333,"kg CO2e/RM, purchaser price"
49,49,0.072619,"kg CO2e/RM, purchaser price"
50,50,0.024048,"kg CO2e/RM, purchaser price"
51,51,0.156905,"kg CO2e/RM, purchaser price"
52,52,0.120714,"kg CO2e/RM, purchaser price"
53,53,0.120714,"kg CO2e/RM, purchaser price"
54,54,0.120714,"kg CO2e/RM, purchaser price"
55,55,0.120714,"kg CO2e/RM, purchaser price"
56,56,0.094286,"kg CO2e/RM, purchaser price"
57,57,0.094286,"kg CO2e/RM, purchaser price"
58,58,0.069524,"kg CO2e/RM, purchaser price"
59,59,0.063571,"kg CO2e/RM, purchaser price"
60,60,0.057857,"kg CO2e/RM, purchaser price"
61,61,0.057857,"kg CO2e/RM, purchaser price"
62,62,0.057857,"kg CO2e/RM, purchaser price"
63,63,0.028571,"kg CO2e/RM, purchaser price"
64,64,0.028571,"kg CO2e/RM, purchaser price"
65,65,0.028571,"kg CO2e/RM, purchaser price"
